,resort,precipitation,temp_max,temp_min,wind
605,resort #606,5.6,26.7,15.6,1.3
606,resort #607,19.3,23.9,18.3,3.0
607,resort #608,0.0,26.1,16.1,2.9
608,resort #609,0.0,27.8,13.9,2.6
609,resort #610,0.0,27.8,15.6,2.5
610,resort #611,0.0,27.8,17.2,2.1
611,resort #612,2.3,25.0,16.7,1.7
612,resort #613,0.3,22.8,16.1,2.4
613,resort #614,27.7,20.0,15.6,2.5
614,resort #615,21.3,21.7,16.1,2.6
615,resort #616,0.0,23.3,17.2,2.0
616,resort #617,0.0,26.7,14.4,1.5
617,resort #618,0.0,26.1,13.9,2.1
618,resort #619,0.0,26.7,15.0,3.7
619,resort #620,0.0,33.9,16.1,2.4
620,resort #621,0.0,25.6,15.0,1.7
621,resort #622,0.0,18.9,15.6,2.0
622,resort #623,0.0,21.7,15.6,1.4
623,resort #624,3.3,18.9,14.4,2.2
624,resort #625,0.3,21.7,15.0,4.3
625,resort #626,0.0,17.8,13.9,2.3
626,resort #627,0.0,21.1,13.3,2.5
627,resort #628,0.0,25.6,10.0,1.5
628,resort #629,3.6,23.3,13.3,3.0
629,resort #630,0.0,21.1,13.3,2.5
630,resort #631,13.5,17.2,13.3,5.5
631,resort #632,2.8,16.1,11.1,4.5
632,resort #633,0.0,17.8,10.0,2.6
633,resort #634,2.0,16.1,9.4,3.0
634,resort #635,0.0,17.2,7.2,2.2
635,resort #636,1.0,13.9,10.6,4.3
636,resort #637,43.4,16.7,11.7,6.0
637,resort #638,16.8,14.4,11.1,7.1
638,resort #639,18.5,13.9,10.0,6.3
639,resort #640,7.9,14.4,8.9,4.7
640,resort #641,5.3,12.8,9.4,2.4
641,resort #642,0.8,14.4,8.9,0.9
642,resort #643,0.0,17.8,5.6,1.1
643,resort #644,0.0,20.0,8.3,1.6
644,resort #645,4.1,22.8,7.8,2.6
645,resort #646,0.5,16.1,11.7,6.3
646,resort #647,6.9,13.9,7.8,3.0
647,resort #648,0.0,15.0,5.6,1.6
648,resort #649,1.0,14.4,8.3,1.7
649,resort #650,9.1,13.9,10.6,1.0
650,resort #651,1.0,14.4,8.9,2.2
651,resort #652,0.0,15.0,6.7,1.8
652,resort #653,0.0,15.6,3.9,1.6
653,resort #654,0.0,15.6,5.0,0.9
654,resort #655,0.0,12.8,8.9,2.7
655,resort #656,0.0,14.4,8.9,1.7
656,resort #657,0.0,12.8,7.2,1.2
657,resort #658,0.0,10.6,7.8,1.4
658,resort #659,0.0,10.6,7.8,2.4
659,resort #660,0.0,11.7,8.3,2.5
660,resort #661,0.0,14.4,7.2,1.9
661,resort #662,0.0,12.8,6.1,0.4
662,resort #663,0.0,10.0,6.1,0.6
663,resort #664,0.0,12.2,7.8,1.8
664,resort #665,0.0,11.7,8.3,2.7
665,resort #666,1.8,13.9,8.3,4.4
666,resort #667,0.0,14.4,7.2,5.1
667,resort #668,0.0,13.3,3.3,2.2
668,resort #669,0.5,15.0,5.6,3.9
669,resort #670,0.3,14.4,10.6,2.2
670,resort #671,1.3,17.8,11.7,1.4
671,resort #672,12.7,14.4,8.3,7.9
672,resort #673,0.5,12.2,4.4,2.4
673,resort #674,0.0,10.6,3.9,1.6
674,resort #675,2.5,13.3,7.2,3.1
675,resort #676,3.8,12.8,7.8,1.7
676,resort #677,30.0,11.1,10.0,7.2
677,resort #678,0.0,13.3,7.2,4.1
678,resort #679,1.8,11.1,5.0,1.4
679,resort #680,0.0,11.1,8.3,4.4
680,resort #681,0.0,16.1,6.1,2.6
681,resort #682,4.1,15.6,8.9,2.2
682,resort #683,0.0,13.9,10.6,3.8
683,resort #684,1.3,11.1,6.1,1.1
684,resort #685,3.0,10.6,7.2,6.0
685,resort #686,0.0,10.0,5.0,4.6
686,resort #687,5.3,11.7,7.2,5.4
687,resort #688,26.2,12.8,9.4,3.9
688,resort #689,1.0,13.3,4.4,5.1
689,resort #690,0.0,7.8,1.7,4.3
690,resort #691,0.0,7.8,-0.5,3.6
691,resort #692,0.0,9.4,0.0,4.6
692,resort #693,0.0,11.1,1.1,2.6
693,resort #694,0.0,11.7,0.6,0.9
694,resort #695,0.0,12.2,2.2,0.5
695,resort #696,0.0,12.2,2.8,1.0
696,resort #697,0.0,14.4,5.6,1.3
697,resort #698,0.0,11.7,3.3,0.7
698,resort #699,0.5,9.4,5.0,2.1
699,resort #700,2.3,11.1,7.2,3.9
700,resort #701,3.0,13.3,7.8,8.8
701,resort #702,4.6,7.8,1.7,3.5
702,resort #703,0.0,5.0,-0.5,5.6
703,resort #704,0.0,4.4,-2.1,1.6
704,resort #705,0.0,1.1,-4.9,2.6
705,resort #706,0.0,1.1,-4.3,4.7
706,resort #707,0.0,0.0,-7.1,3.1
707,resort #708,0.0,2.2,-6.6,2.2
708,resort #709,0.0,1.1,-4.9,1.3
709,resort #710,0.0,5.6,0.6,1.5
710,resort #711,0.0,5.0,-1.6,0.8
711,resort #712,6.9,5.6,-0.5,2.3
712,resort #713,0.5,9.4,5.6,2.9
713,resort #714,0.0,9.4,6.1,3.7
714,resort #715,1.3,11.7,8.3,3.9
715,resort #716,0.3,10.0,4.4,1.0
716,resort #717,0.0,8.3,4.4,2.7
717,resort #718,1.3,7.8,2.2,2.8
718,resort #719,0.0,5.0,0.0,2.1
719,resort #720,5.6,8.3,0.6,3.7
720,resort #721,5.6,8.9,5.6,2.3
721,resort #722,10.7,10.6,8.3,4.0
722,resort #723,1.5,11.7,6.1,5.9
723,resort #724,0.0,8.3,2.8,1.7
724,resort #725,0.0,6.7,1.7,0.8
725,resort #726,0.0,6.7,0.6,0.5
726,resort #727,0.3,8.9,0.0,2.1
727,resort #728,0.0,9.4,3.3,1.3
728,resort #729,0.0,7.2,1.7,1.1
729,resort #730,0.3,8.9,4.4,2.6
730,resort #731,0.5,8.3,5.0,1.7
731,resort #732,0.0,7.2,3.3,1.2
732,resort #733,4.1,10.6,6.1,3.2
733,resort #734,1.5,8.9,2.8,2.6
734,resort #735,0.0,7.8,0.6,2.7
735,resort #736,0.0,8.3,-0.5,3.7
736,resort #737,0.3,7.8,-0.5,2.6
737,resort #738,12.2,8.3,5.0,1.6
738,resort #739,9.7,10.0,7.2,4.6
739,resort #740,5.8,9.4,5.6,6.3
740,resort #741,4.3,12.8,8.3,7.0
741,resort #742,21.3,14.4,7.2,8.8
742,resort #743,1.5,11.1,5.6,8.1
743,resort #744,0.0,10.6,10.0,7.1
744,resort #745,0.0,11.1,7.2,1.3
745,resort #746,0.0,11.1,5.6,2.5
746,resort #747,0.0,6.7,4.4,2.7
747,resort #748,0.0,5.6,2.8,2.3
748,resort #749,0.0,9.4,0.6,2.2
749,resort #750,0.0,6.1,3.3,2.5
750,resort #751,0.0,10.0,2.8,2.2
751,resort #752,0.0,10.0,1.7,1.5
752,resort #753,0.5,9.4,5.6,2.6
753,resort #754,0.0,10.0,2.8,5.2
754,resort #755,0.0,12.8,1.1,1.9
755,resort #756,0.0,12.2,1.1,0.8
756,resort #757,0.0,8.3,0.6,1.3
757,resort #758,0.0,9.4,1.7,1.3
758,resort #759,8.9,11.1,6.1,1.6
759,resort #760,21.6,11.1,7.2,3.4
760,resort #761,0.0,8.3,6.1,6.4
761,resort #762,2.3,7.8,5.6,2.6
762,resort #763,2.0,7.8,2.8,0.8
763,resort #764,0.0,8.9,1.1,2.5
764,resort #765,0.0,5.0,0.0,4.3
765,resort #766,0.0,2.8,-2.1,4.7
766,resort #767,0.0,-0.5,-5.5,6.6
767,resort #768,0.0,-1.6,-6.0,4.5
768,resort #769,0.0,3.3,-4.9,4.2
769,resort #770,5.1,5.6,-0.5,4.6
770,resort #771,0.5,3.9,0.0,2.4
771,resort #772,18.3,10.0,2.2,4.7
772,resort #773,17.0,12.2,5.6,3.8
773,resort #774,4.6,12.2,7.2,6.4
774,resort #775,1.8,12.8,7.8,6.3
775,resort #776,9.4,11.7,6.1,6.4
776,resort #777,11.7,11.1,5.0,5.1
777,resort #778,26.4,9.4,3.9,7.9
778,resort #779,14.5,8.3,4.4,5.5
779,resort #780,15.2,8.9,5.0,6.2
780,resort #781,1.0,8.3,3.9,6.0
781,resort #782,3.0,10.0,5.6,6.9
782,resort #783,2.8,6.7,3.9,2.9
783,resort #784,2.5,5.6,2.8,3.1
784,resort #785,6.1,7.2,3.9,2.6
785,resort #786,13.0,6.7,3.3,3.2
786,resort #787,0.3,12.2,3.9,4.5
787,resort #788,0.0,13.9,5.6,2.5
788,resort #789,0.0,12.8,4.4,2.3
789,resort #790,0.0,14.4,4.4,5.9
790,resort #791,0.5,7.2,4.4,4.7
791,resort #792,19.1,11.1,2.8,5.7
792,resort #793,10.7,14.4,8.9,5.1
793,resort #794,16.5,13.9,7.8,3.9
794,resort #795,46.7,15.6,10.6,3.9
795,resort #796,3.0,13.3,10.0,6.2
796,resort #797,0.0,15.6,8.9,4.2
797,resort #798,32.3,12.8,6.7,2.7
798,resort #799,4.3,15.0,9.4,4.3
799,resort #800,18.8,12.2,6.1,2.2
800,resort #801,0.0,14.4,4.4,2.3
801,resort #802,0.0,16.1,3.3,1.9
802,resort #803,0.5,13.9,5.0,2.5
803,resort #804,6.9,14.4,8.3,6.1
804,resort #805,8.1,16.7,4.4,3.0
805,resort #806,27.7,10.6,4.4,3.8
806,resort #807,0.3,10.0,2.8,3.2
807,resort #808,0.0,10.0,3.3,1.6
808,resort #809,0.5,11.1,3.3,5.1
809,resort #810,0.0,11.1,1.7,3.0
810,resort #811,0.0,10.6,2.8,3.8
811,resort #812,0.0,11.1,1.1,1.8
812,resort #813,0.0,12.8,4.4,3.3
813,resort #814,0.0,18.9,2.8,2.2
814,resort #815,4.1,13.9,6.7,4.4
815,resort #816,3.6,11.1,5.6,2.4
816,resort #817,0.3,12.2,6.7,2.8
817,resort #818,22.1,11.7,7.2,3.9
818,resort #819,14.0,11.7,7.2,5.1
819,resort #820,0.0,11.1,5.0,5.1
820,resort #821,0.0,15.6,2.2,3.8
821,resort #822,0.0,14.4,6.7,2.8
822,resort #823,0.0,14.4,5.6,4.2
823,resort #824,2.5,13.3,6.1,3.9
824,resort #825,0.0,12.8,6.1,4.7
825,resort #826,4.6,11.7,7.8,4.3
826,resort #827,0.0,13.9,8.3,2.6
827,resort #828,0.0,21.1,9.4,2.5
828,resort #829,4.6,15.6,8.3,4.2
829,resort #830,0.0,14.4,6.7,2.9
830,resort #831,0.0,15.0,6.7,3.6
831,resort #832,0.0,17.2,5.0,2.8
832,resort #833,0.0,16.1,7.8,4.4
833,resort #834,0.0,20.6,5.6,3.1
834,resort #835,0.0,20.0,5.6,2.6
835,resort #836,0.5,14.4,7.8,4.0
836,resort #837,10.9,11.1,8.9,4.6
837,resort #838,18.5,11.7,7.2,4.7
838,resort #839,0.0,14.4,5.6,3.8
839,resort #840,13.7,11.7,5.6,4.7
840,resort #841,0.0,15.6,5.6,2.7
841,resort #842,5.1,17.2,7.8,2.5
842,resort #843,14.2,12.2,5.0,4.2
843,resort #844,8.9,11.7,6.1,5.0
844,resort #845,12.4,13.9,6.1,5.3
845,resort #846,0.0,14.4,5.6,2.3
846,resort #847,3.3,15.0,5.6,3.9
847,resort #848,6.9,11.1,6.1,5.8
848,resort #849,0.0,16.1,4.4,2.6
849,resort #850,0.0,25.0,9.4,2.3
850,resort #851,0.0,27.8,9.4,3.9
851,resort #852,0.0,29.4,11.1,3.0
852,resort #853,0.0,18.3,10.6,4.7
853,resort #854,33.3,15.0,8.9,3.4
854,resort #855,16.0,14.4,8.9,4.2
855,resort #856,5.1,15.6,9.4,3.8
856,resort #857,0.0,16.7,8.3,2.6
857,resort #858,0.0,18.3,7.2,1.7
858,resort #859,13.7,13.9,9.4,3.4
859,resort #860,2.0,13.3,7.2,5.6
860,resort #861,0.5,15.6,7.2,2.1
861,resort #862,0.0,18.9,8.3,1.7
862,resort #863,0.0,24.4,9.4,2.7
863,resort #864,0.0,26.7,12.8,3.8
864,resort #865,0.0,27.8,13.3,3.3
865,resort #866,0.0,26.7,12.8,3.0
866,resort #867,0.0,20.0,11.7,4.1
867,resort #868,0.0,20.0,11.7,3.2
868,resort #869,0.0,20.0,10.6,3.2
869,resort #870,0.0,21.1,10.0,2.2
870,resort #871,0.0,22.2,10.0,2.7
871,resort #872,0.0,20.0,10.6,1.7
872,resort #873,0.0,24.4,11.7,2.5
873,resort #874,3.8,20.0,12.8,4.0
874,resort #875,0.0,18.3,11.1,2.4
875,resort #876,5.6,15.0,10.6,1.4
876,resort #877,0.0,18.3,11.1,4.5
877,resort #878,0.0,20.0,10.0,2.5
878,resort #879,0.0,18.9,10.0,3.4
879,resort #880,0.0,18.9,11.1,4.3
880,resort #881,0.0,20.6,8.9,4.5
881,resort #882,0.0,23.3,10.0,2.2
882,resort #883,0.0,22.2,10.6,2.3
883,resort #884,0.0,23.3,11.1,2.4
884,resort #885,0.0,18.3,11.1,3.2
885,resort #886,0.0,19.4,10.0,2.6
886,resort #887,0.0,22.2,10.0,2.4
887,resort #888,0.0,25.0,10.6,3.2
888,resort #889,0.0,24.4,13.3,3.1
889,resort #890,0.0,23.3,12.2,2.1
890,resort #891,0.0,21.1,13.3,3.6
891,resort #892,0.0,20.0,12.2,2.9
892,resort #893,0.0,23.9,11.1,2.7
893,resort #894,1.8,21.7,12.2,4.0
894,resort #895,6.4,15.6,11.1,5.0
895,resort #896,0.0,17.8,11.7,3.2
896,resort #897,0.5,18.3,10.0,3.6
897,resort #898,3.6,17.8,8.9,2.4
898,resort #899,1.3,17.8,10.0,3.0
899,resort #900,0.0,18.9,11.1,2.7
900,resort #901,0.8,25.6,11.7,3.7
901,resort #902,0.3,20.0,10.0,3.4
902,resort #903,0.0,22.2,10.6,3.6
903,resort #904,0.0,25.0,11.1,2.7
904,resort #905,0.0,25.0,13.3,2.5
905,resort #906,0.0,24.4,14.4,2.5
906,resort #907,0.0,26.1,13.9,2.4
907,resort #908,0.0,21.1,14.4,4.1
908,resort #909,1.8,21.1,13.9,4.5
909,resort #910,2.3,20.0,13.3,4.3
910,resort #911,0.0,20.6,12.8,3.2
911,resort #912,0.0,25.6,12.8,4.4
912,resort #913,0.0,34.4,15.6,3.5
913,resort #914,0.0,27.2,14.4,3.6
914,resort #915,0.0,21.7,13.9,3.1
915,resort #916,0.0,23.9,13.9,3.6
916,resort #917,0.0,24.4,13.3,2.2
917,resort #918,0.0,28.9,15.0,3.0
918,resort #919,0.0,27.2,17.8,4.1
919,resort #920,0.0,30.0,15.6,3.5
920,resort #921,0.0,26.7,13.9,2.3
921,resort #922,0.0,28.9,12.8,2.2
922,resort #923,0.0,31.1,15.0,2.2
923,resort #924,0.0,32.2,16.7,2.2
924,resort #925,0.0,29.4,15.0,2.6
925,resort #926,0.0,27.8,15.0,2.8
926,resort #927,0.0,31.1,13.9,2.3
927,resort #928,0.0,31.1,14.4,2.4
928,resort #929,0.0,26.7,13.9,3.7
929,resort #930,0.0,23.9,11.7,2.8
930,resort #931,0.0,25.6,15.0,5.4
931,resort #932,0.0,19.4,14.4,2.8
932,resort #933,0.0,23.9,13.3,2.2
933,resort #934,0.3,21.1,13.3,1.1
934,resort #935,19.3,18.9,13.3,3.3
935,resort #936,0.0,20.6,12.8,4.7
936,resort #937,0.0,22.8,12.2,2.7
937,resort #938,0.0,26.1,13.3,3.6
938,resort #939,0.0,28.3,15.0,4.1
939,resort #940,0.0,30.6,15.0,3.7
940,resort #941,0.0,30.0,15.6,2.8
941,resort #942,0.0,29.4,14.4,3.4
942,resort #943,0.0,30.6,17.8,4.1
943,resort #944,0.0,28.9,15.0,3.3
944,resort #945,0.5,29.4,15.6,1.7
945,resort #946,0.0,31.7,14.4,2.6
946,resort #947,0.0,32.8,16.1,2.6
947,resort #948,0.0,25.0,13.9,2.7
948,resort #949,0.0,26.1,15.0,2.2
949,resort #950,0.0,25.6,13.3,2.4
950,resort #951,0.0,25.6,13.3,2.9
951,resort #952,0.0,27.2,15.6,4.1
952,resort #953,0.0,30.6,13.9,3.4
953,resort #954,0.5,35.6,17.8,2.6
954,resort #955,12.7,27.2,17.2,3.1
955,resort #956,21.6,23.3,15.0,2.7
956,resort #957,0.0,21.1,17.2,0.6
957,resort #958,1.0,24.4,16.7,1.5
958,resort #959,0.0,25.6,15.6,2.2
959,resort #960,0.0,27.8,15.0,2.8
960,resort #961,0.0,29.4,15.6,3.3
961,resort #962,0.0,27.2,15.6,2.4
962,resort #963,0.0,21.7,13.9,3.6
963,resort #964,0.0,21.1,11.1,1.7
964,resort #965,0.0,23.9,13.3,2.9
965,resort #966,0.0,27.8,13.9,2.0
966,resort #967,0.0,25.0,13.3,2.3
967,resort #968,0.0,28.9,14.4,2.0
968,resort #969,0.0,31.1,15.6,1.8
969,resort #970,0.0,28.9,16.1,1.6
970,resort #971,0.0,23.3,14.4,2.3
971,resort #972,0.0,22.8,15.0,3.4
972,resort #973,8.4,17.8,15.0,2.2
973,resort #974,1.3,21.1,13.9,1.9
974,resort #975,0.0,23.3,12.8,2.5
975,resort #976,3.0,20.0,13.9,4.3
976,resort #977,0.0,20.6,12.8,2.7
977,resort #978,0.0,23.9,11.1,3.1
978,resort #979,0.0,27.8,13.9,6.5
979,resort #980,0.0,32.2,15.0,2.9
980,resort #981,0.0,28.3,13.3,2.1
981,resort #982,0.0,21.1,13.3,2.8
982,resort #983,0.0,21.7,13.3,2.3
983,resort #984,0.0,22.2,12.2,3.9
984,resort #985,0.0,24.4,12.8,5.3
985,resort #986,0.0,24.4,12.8,5.9
986,resort #987,0.0,28.3,10.0,4.2
987,resort #988,0.0,30.0,11.7,1.8
988,resort #989,0.0,30.6,12.2,1.2
989,resort #990,0.0,22.2,13.9,2.8
990,resort #991,0.5,22.8,14.4,2.3
991,resort #992,0.3,19.4,15.0,3.1
992,resort #993,0.0,23.9,16.1,2.8
993,resort #994,0.0,24.4,14.4,4.4
994,resort #995,0.0,26.1,12.8,3.0
995,resort #996,0.3,22.2,15.0,2.1
996,resort #997,18.3,18.9,14.4,2.5
997,resort #998,20.3,18.9,14.4,2.7
998,resort #999,4.3,21.7,14.4,2.5
999,resort #1000,8.9,20.0,13.9,3.3
1000,resort #1001,0.0,20.6,11.7,3.2
1001,resort #1002,0.0,18.9,12.2,2.0
1002,resort #1003,0.8,16.7,11.1,3.5
1003,resort #1004,0.0,19.4,12.2,2.6
1004,resort #1005,0.0,18.3,11.1,2.1
1005,resort #1006,0.0,19.4,10.0,2.0
1006,resort #1007,0.0,22.2,8.9,1.0
1007,resort #1008,0.0,21.7,12.2,1.2
1008,resort #1009,0.0,23.9,11.7,1.4
1009,resort #1010,0.0,25.6,13.3,2.5
1010,resort #1011,0.0,18.9,13.9,1.0
1011,resort #1012,0.0,20.6,12.8,1.8
1012,resort #1013,0.0,17.2,11.1,1.0
1013,resort #1014,0.3,18.3,10.0,3.8
1014,resort #1015,7.4,18.3,11.7,3.5
1015,resort #1016,0.0,17.8,11.7,2.1
1016,resort #1017,7.6,21.1,10.0,3.1
1017,resort #1018,7.1,16.7,11.7,2.2
1018,resort #1019,8.6,16.1,11.7,4.7
1019,resort #1020,0.0,20.6,11.1,3.3
1020,resort #1021,3.3,16.7,11.7,3.0
1021,resort #1022,15.0,19.4,13.9,1.9
1022,resort #1023,0.0,22.2,12.8,3.2
1023,resort #1024,11.7,16.1,12.2,3.1
1024,resort #1025,1.0,16.1,11.7,4.7
1025,resort #1026,32.0,15.6,11.7,5.0
1026,resort #1027,9.4,14.4,8.3,4.6
1027,resort #1028,4.1,14.4,8.9,3.2
1028,resort #1029,6.1,16.7,8.3,5.4
1029,resort #1030,1.5,12.8,7.8,5.0
1030,resort #1031,0.8,15.6,6.7,2.4
1031,resort #1032,12.7,15.0,9.4,3.9
1032,resort #1033,0.5,16.7,11.7,3.1
1033,resort #1034,25.4,15.6,11.1,3.2
1034,resort #1035,17.0,12.8,8.3,2.0
1035,resort #1036,0.0,11.1,7.2,1.2
1036,resort #1037,1.8,13.3,7.2,2.9
1037,resort #1038,10.9,13.9,11.1,4.8
1038,resort #1039,4.1,14.4,10.6,3.3
1039,resort #1040,4.8,15.0,10.6,2.1
1040,resort #1041,4.1,16.7,10.6,6.7
1041,resort #1042,0.0,14.4,7.2,2.3
1042,resort #1043,0.0,12.8,3.9,0.8
1043,resort #1044,5.1,13.3,7.8,3.0
1044,resort #1045,0.0,11.1,5.6,3.9
1045,resort #1046,0.0,7.8,1.1,7.7
1046,resort #1047,0.0,6.7,0.0,7.6
1047,resort #1048,0.0,7.2,0.6,4.7
1048,resort #1049,0.0,7.2,-2.1,4.5
1049,resort #1050,0.0,8.3,-1.6,4.2
1050,resort #1051,0.0,9.4,-2.1,4.2
1051,resort #1052,0.0,10.6,-2.1,1.9
1052,resort #1053,0.0,7.2,-0.5,0.9
1053,resort #1054,0.0,11.1,2.2,1.9
1054,resort #1055,3.6,11.1,5.6,2.1
1055,resort #1056,15.2,11.1,8.3,4.7
1056,resort #1057,0.5,9.4,6.7,4.7
1057,resort #1058,11.9,12.8,5.6,5.1
1058,resort #1059,1.3,11.7,4.4,3.8
1059,resort #1060,18.3,13.9,9.4,4.5
1060,resort #1061,0.3,15.0,12.2,3.9
1061,resort #1062,3.3,14.4,11.7,6.6
1062,resort #1063,34.3,12.8,3.3,5.8
1063,resort #1064,3.6,4.4,-4.3,5.3
1064,resort #1065,0.0,2.8,-4.9,4.4
1065,resort #1066,0.0,4.4,-3.2,2.2
1066,resort #1067,0.0,5.6,-3.2,5.7
1067,resort #1068,0.0,10.0,0.0,3.6
1068,resort #1069,0.8,8.3,3.9,1.1
1069,resort #1070,3.0,12.8,6.7,3.1
1070,resort #1071,7.4,11.7,7.8,3.6
1071,resort #1072,0.0,14.4,6.1,2.8
1072,resort #1073,9.1,14.4,8.9,4.2
1073,resort #1074,9.9,16.1,10.6,5.1
1074,resort #1075,13.0,18.9,10.0,6.7
1075,resort #1076,6.9,14.4,8.3,6.4
1076,resort #1077,0.0,11.1,7.2,3.7
1077,resort #1078,0.0,10.0,3.9,1.1
1078,resort #1079,0.0,12.8,1.7,3.5
1079,resort #1080,0.0,12.2,6.7,5.9
1080,resort #1081,0.0,10.0,8.3,4.0
1081,resort #1082,2.8,8.9,6.1,1.6
1082,resort #1083,13.0,9.4,6.7,3.1
1083,resort #1084,3.0,11.1,7.2,4.3
1084,resort #1085,19.6,12.8,6.7,5.5
1085,resort #1086,0.0,12.8,10.0,5.2
1086,resort #1087,0.0,10.6,6.1,1.5
1087,resort #1088,20.6,12.2,5.0,3.8
1088,resort #1089,5.3,7.2,3.9,1.8
1089,resort #1090,0.0,7.8,2.8,2.2
1090,resort #1091,0.0,5.6,1.7,1.2
1091,resort #1092,3.3,9.4,4.4,4.9
1092,resort #1093,4.1,6.7,2.8,1.8
1093,resort #1094,0.0,6.1,0.6,4.3
1094,resort #1095,0.0,3.3,-2.1,3.6
1095,resort #1096,0.0,3.3,-2.7,3.0
1096,resort #1097,0.0,5.6,-3.2,1.2
1097,resort #1098,1.5,5.6,0.0,2.3
1098,resort #1099,0.0,5.0,1.7,1.7
1099,resort #1100,10.2,10.6,3.3,4.5
1100,resort #1101,8.1,12.2,9.4,6.4
1101,resort #1102,0.0,12.2,6.1,1.3
1102,resort #1103,0.0,7.8,5.6,1.6
1103,resort #1104,0.0,7.8,1.7,2.6
1104,resort #1105,0.3,10.0,3.3,0.6
1105,resort #1106,5.8,7.8,6.1,0.5
1106,resort #1107,1.5,9.4,7.2,1.1
1107,resort #1108,0.0,11.1,4.4,1.6
1108,resort #1109,0.0,9.4,2.8,2.7
1109,resort #1110,0.0,6.1,0.6,2.8
1110,resort #1111,9.7,7.8,1.1,3.2
1111,resort #1112,0.0,11.7,5.6,4.5
1112,resort #1113,26.2,13.3,3.3,2.8
1113,resort #1114,21.3,13.9,7.2,6.6
1114,resort #1115,0.5,10.0,6.1,2.8
1115,resort #1116,0.0,10.0,3.3,3.0
1116,resort #1117,0.0,7.2,-0.5,1.3
1117,resort #1118,0.8,9.4,6.1,1.3
1118,resort #1119,5.8,12.2,8.3,2.6
1119,resort #1120,0.5,14.4,11.1,3.3
1120,resort #1121,0.0,17.2,7.2,1.4
1121,resort #1122,0.0,16.1,6.1,2.2
1122,resort #1123,0.8,11.1,8.3,2.0
1123,resort #1124,0.0,12.2,5.0,1.8
1124,resort #1125,0.0,12.2,3.3,2.9
1125,resort #1126,0.0,8.3,1.1,0.8
1126,resort #1127,0.0,7.2,3.3,1.9
1127,resort #1128,1.5,9.4,4.4,2.6
1128,resort #1129,7.4,11.1,5.0,4.0
1129,resort #1130,1.3,10.0,5.6,1.9
1130,resort #1131,8.4,10.6,4.4,1.7
1131,resort #1132,26.2,13.3,8.3,4.6
1132,resort #1133,17.3,14.4,10.0,4.5
1133,resort #1134,23.6,12.2,9.4,4.6
1134,resort #1135,3.6,15.0,8.3,3.9
1135,resort #1136,6.1,13.3,8.3,2.5
1136,resort #1137,0.3,12.8,8.3,4.0
1137,resort #1138,0.0,12.8,5.6,1.0
1138,resort #1139,1.0,16.7,9.4,2.1
1139,resort #1140,0.0,15.6,6.7,1.7
1140,resort #1141,0.3,14.4,6.7,2.9
1141,resort #1142,0.0,12.2,3.9,4.8
1142,resort #1143,0.0,15.0,5.6,6.6
1143,resort #1144,0.0,16.1,4.4,4.0
1144,resort #1145,0.0,12.2,4.4,2.6
1145,resort #1146,4.6,10.6,8.3,2.2
1146,resort #1147,0.8,11.1,7.2,0.9
1147,resort #1148,0.0,12.2,5.6,4.5
1148,resort #1149,0.0,11.7,3.3,4.2
1149,resort #1150,0.0,12.8,0.6,1.4
1150,resort #1151,0.0,11.1,2.2,1.5
1151,resort #1152,4.1,10.0,6.7,1.0
1152,resort #1153,9.4,11.7,7.8,1.4
1153,resort #1154,18.3,10.0,6.7,4.0
1154,resort #1155,0.0,12.2,3.3,5.1
1155,resort #1156,0.0,11.1,1.1,2.2
1156,resort #1157,0.0,11.1,4.4,4.8
1157,resort #1158,0.0,10.6,0.0,2.1
1158,resort #1159,0.0,12.8,-0.5,1.8
1159,resort #1160,0.0,13.3,2.8,1.3
1160,resort #1161,0.0,15.0,3.3,1.4
1161,resort #1162,0.0,16.7,3.9,2.7
1162,resort #1163,0.0,17.2,3.9,1.7
1163,resort #1164,0.0,14.4,4.4,1.8
1164,resort #1165,0.8,13.3,5.0,2.6
1165,resort #1166,2.5,14.4,8.9,3.1
1166,resort #1167,0.0,17.8,9.4,3.2
1167,resort #1168,2.0,17.2,7.8,2.2
1168,resort #1169,17.0,13.9,9.4,3.8
1169,resort #1170,55.9,10.6,6.1,4.2
1170,resort #1171,1.0,13.9,6.1,3.0
1171,resort #1172,0.8,13.3,4.4,2.6
1172,resort #1173,0.0,15.6,7.2,2.5
1173,resort #1174,0.0,15.6,8.3,1.9
1174,resort #1175,4.1,13.9,8.9,1.9
1175,resort #1176,3.8,13.3,8.3,4.7
1176,resort #1177,1.0,11.7,6.1,2.3
1177,resort #1178,8.1,11.1,5.6,2.8
1178,resort #1179,7.6,12.8,6.1,3.9
1179,resort #1180,5.1,14.4,7.2,4.4
1180,resort #1181,0.0,20.6,10.0,2.2
1181,resort #1182,1.0,18.3,8.9,4.0
1182,resort #1183,0.0,15.6,9.4,5.7
1183,resort #1184,0.0,15.6,8.9,3.0
1184,resort #1185,1.8,17.8,10.6,2.9
1185,resort #1186,1.0,12.8,6.1,4.2
1186,resort #1187,5.1,12.8,5.6,3.2
1187,resort #1188,0.0,13.3,5.6,2.4
1188,resort #1189,1.5,11.1,5.0,3.6
1189,resort #1190,0.0,12.8,3.9,1.7
1190,resort #1191,0.0,16.7,2.8,2.4
1191,resort #1192,1.0,13.9,6.7,3.5
1192,resort #1193,0.5,14.4,6.7,3.9
1193,resort #1194,0.0,17.2,6.1,1.7
